incident_id,anomaly_id,transaction_id,user_id,created_at,anomaly_type,severity,likelihood,exposure_inr,priority_score,priority_band,rationale,recommendation,status
INC_67C2E734AA,ANO_245CF0869D,TX_ANO_WTH_D0662C99,USR_05746,2026-09-13 00:11:38+00:00,RAPID_PASS_THROUGH,5,5,794253.47,339.63,P1,"P1 CRITICAL: High-severity RAPID_PASS_THROUGH with substantial financial exposure (₹794,253.47) exceeding risk threshold.",Place temporary 24h withdrawal hold; verify bank account originator name; request source-of-funds declaration.,OPEN
INC_6079896537,ANO_F6EA13375F,TX_ANO_WTH_3CED331C,USR_00442,2026-08-28 16:14:22+00:00,RAPID_PASS_THROUGH,5,5,787405.08,339.41,P1,"P1 CRITICAL: High-severity RAPID_PASS_THROUGH with substantial financial exposure (₹787,405.08) exceeding risk threshold.",Place temporary 24h withdrawal hold; verify bank account originator name; request source-of-funds declaration.,OPEN
INC_967E9D903D,ANO_E3E4058574,TX_ANO_WTH_1797158F,USR_09153,2026-09-05 19:21:00+00:00,RAPID_PASS_THROUGH,5,5,776157.65,339.05,P1,"P1 CRITICAL: High-severity RAPID_PASS_THROUGH with substantial financial exposure (₹776,157.65) exceeding risk threshold.",Place temporary 24h withdrawal hold; verify bank account originator name; request source-of-funds declaration.,OPEN
INC_07AA1B0EB8,ANO_A2C22A1E6A,TX_ANO_WTH_A147C37C,USR_06433,2026-08-22 20:08:02+00:00,RAPID_PASS_THROUGH,5,5,774767.73,339.01,P1,"P1 CRITICAL: High-severity RAPID_PASS_THROUGH with substantial financial exposure (₹774,767.73) exceeding risk threshold.",Place temporary 24h withdrawal hold; verify bank account originator name; request source-of-funds declaration.,OPEN
INC_A9C2F36FC0,ANO_604EC23AC4,TX_ANO_WTH_EABD8162,USR_07088,2026-09-15 06:07:05+00:00,RAPID_PASS_THROUGH,5,5,772557.31,338.94,P1,"P1 CRITICAL: High-severity RAPID_PASS_THROUGH with substantial financial exposure (₹772,557.31) exceeding risk threshold.",Place temporary 24h withdrawal hold; verify bank account originator name; request source-of-funds declaration.,OPEN
INC_170B05D010,ANO_125AF61C99,TX_ANO_WTH_6D549C17,USR_02596,2026-09-18 10:50:29+00:00,RAPID_PASS_THROUGH,5,5,766910.48,338.75,P1,"P1 CRITICAL: High-severity RAPID_PASS_THROUGH with substantial financial exposure (₹766,910.48) exceeding risk threshold.",Place temporary 24h withdrawal hold; verify bank account originator name; request source-of-funds declaration.,OPEN
INC_EBA9B8C01D,ANO_FFEF8830FC,TX_ANO_WTH_EC8D898E,USR_09331,2026-09-03 06:58:00+00:00,RAPID_PASS_THROUGH,5,5,765488.16,338.71,P1,"P1 CRITICAL: High-severity RAPID_PASS_THROUGH with substantial financial exposure (₹765,488.16) exceeding risk threshold.",Place temporary 24h withdrawal hold; verify bank account originator name; request source-of-funds declaration.,OPEN
INC_662B94331A,ANO_138D02C219,TX_ANO_WTH_38E6F44E,USR_00946,2026-08-18 17:38:45+00:00,RAPID_PASS_THROUGH,5,5,763535.6,338.64,P1,"P1 CRITICAL: High-severity RAPID_PASS_THROUGH with substantial financial exposure (₹763,535.60) exceeding risk threshold.",Place temporary 24h withdrawal hold; verify bank account originator name; request source-of-funds declaration.,OPEN
INC_E117DC9FD1,ANO_631EEC9D88,TX_ANO_WTH_98FFD9EF,USR_07767,2026-09-14 20:17:26+00:00,RAPID_PASS_THROUGH,5,5,750976.5,338.23,P1,"P1 CRITICAL: High-severity RAPID_PASS_THROUGH with substantial financial exposure (₹750,976.50) exceeding risk threshold.",Place temporary 24h withdrawal hold; verify bank account originator name; request source-of-funds declaration.,OPEN
INC_19113E8E72,ANO_2DE17319BA,TX_ANO_WTH_7E3C5B6F,USR_05139,2026-08-31 11:12:19+00:00,RAPID_PASS_THROUGH,5,5,748208.56,338.14,P1,"P1 CRITICAL: High-severity RAPID_PASS_THROUGH with substantial financial exposure (₹748,208.56) exceeding risk threshold.",Place temporary 24h withdrawal hold; verify bank account originator name; request source-of-funds declaration.,OPEN
INC_B513A8285F,ANO_FC113F1738,TX_ANO_WTH_D3369432,USR_07169,2026-08-24 08:46:14+00:00,RAPID_PASS_THROUGH,5,5,722248.0,337.25,P1,"P1 CRITICAL: High-severity RAPID_PASS_THROUGH with substantial financial exposure (₹722,248.00) exceeding risk threshold.",Place temporary 24h withdrawal hold; verify bank account originator name; request source-of-funds declaration.,OPEN
INC_F2BE44E348,ANO_A327083E18,TX_ANO_WTH_94DE8B2C,USR_00236,2026-09-09 16:17:56+00:00,RAPID_PASS_THROUGH,5,5,721874.25,337.24,P1,"P1 CRITICAL: High-severity RAPID_PASS_THROUGH with substantial financial exposure (₹721,874.25) exceeding risk threshold.",Place temporary 24h withdrawal hold; verify bank account originator name; request source-of-funds declaration.,OPEN
INC_98CD40E9F7,ANO_A0834E1DF6,TX_ANO_WTH_CB7B04F2,USR_07601,2026-09-19 03:43:59+00:00,RAPID_PASS_THROUGH,5,5,720045.47,337.18,P1,"P1 CRITICAL: High-severity RAPID_PASS_THROUGH with substantial financial exposure (₹720,045.47) exceeding risk threshold.",Place temporary 24h withdrawal hold; verify bank account originator name; request source-of-funds declaration.,OPEN
INC_384093012E,ANO_A6BC11BC40,TX_ANO_WTH_352DA096,USR_08525,2026-08-23 06:45:50+00:00,RAPID_PASS_THROUGH,5,5,694530.31,336.27,P1,"P1 CRITICAL: High-severity RAPID_PASS_THROUGH with substantial financial exposure (₹694,530.31) exceeding risk threshold.",Place temporary 24h withdrawal hold; verify bank account originator name; request source-of-funds declaration.,OPEN
INC_35C801E447,ANO_594BA9CE52,TX_ANO_WTH_ECD5846E,USR_09417,2026-08-14 16:19:49+00:00,RAPID_PASS_THROUGH,5,5,681523.19,335.8,P1,"P1 CRITICAL: High-severity RAPID_PASS_THROUGH with substantial financial exposure (₹681,523.19) exceeding risk threshold.",Place temporary 24h withdrawal hold; verify bank account originator name; request source-of-funds declaration.,OPEN
INC_CD3DD9C940,ANO_32580375F6,TX_ANO_WTH_A7571C7B,USR_01275,2026-08-12 19:03:47+00:00,RAPID_PASS_THROUGH,5,5,681028.92,335.78,P1,"P1 CRITICAL: High-severity RAPID_PASS_THROUGH with substantial financial exposure (₹681,028.92) exceeding risk threshold.",Place temporary 24h withdrawal hold; verify bank account originator name; request source-of-funds declaration.,OPEN
INC_3D492B80AC,ANO_F8B830EC23,TX_ANO_WTH_2A1C1EE3,USR_02375,2026-09-17 03:17:37+00:00,RAPID_PASS_THROUGH,5,5,669854.78,335.37,P1,"P1 CRITICAL: High-severity RAPID_PASS_THROUGH with substantial financial exposure (₹669,854.78) exceeding risk threshold.",Place temporary 24h withdrawal hold; verify bank account originator name; request source-of-funds declaration.,OPEN
INC_4C6DEEE076,ANO_987E6DED05,TX_ANO_WTH_8664B2D3,USR_08857,2026-09-04 18:18:50+00:00,RAPID_PASS_THROUGH,5,5,662727.07,335.1,P1,"P1 CRITICAL: High-severity RAPID_PASS_THROUGH with substantial financial exposure (₹662,727.07) exceeding risk threshold.",Place temporary 24h withdrawal hold; verify bank account originator name; request source-of-funds declaration.,OPEN
